"motherEduc" "IQ" "KWW" "educ" "expr" "wage"
12 119 30 16 0 414.884430199271
12 106 38 14 0.389 249.884797086018
10 127 49 17 2.378 865.234008151289
12 113 35 15 0.731 500.195989190632
12 115 36 13 0.395 343.092469084175
12 102 40 16 1.005 542.94064252041
12 117 51 16 0.462 457.144713268909
10 125 34 16 0.205 280.0589173104
8 118 47 16 2.167 343.092469084175
12 121 40 18 4.971 768.930047631974
12 115 51 17 0 577.091019403042
12 120 44 13 2.462 533.788663825561
11 109 43 12 5.131 353.894908352961
12 109 28 12 0 175.037458571798
12 85 50 12 10.077 454.864694499525
11 106 32 14 1.538 290.90594445645
10 101 30 12 0.378 150.054715862554
12 116 40 12 0 251.891893142431
7 91 24 12 0.962 140.050069786076
11 91 28 12 0.333 136.046943639891
7 110 34 9 0 224.977410638035
7 75 33 12 6.7 175.037458571798
12 94 17 12 0.964 159.972191979387
12 109 27 13 1.584 411.990380180304
8 122 38 16 0.874 300.966812140347
11 102 26 12 0 199.93653676148
8 122 38 14 2.689 265.868014619529
10 105 38 12 4.378 266.933616460888
9 113 37 12 2 242.985069726934
8 104 34 12 3.932 354.95818719883
9 124 43 16 0.377 481.063847316259
12 110 31 12 1.218 180.007767007331
12 95 37 12 1.833 249.884797086018
18 120 39 16 1.422 457.144713268909
12 105 39 12 4.964 193.059802804665
12 121 30 16 0.482 361.044059730337
8 96 42 12 0 724.875560910953
9 110 26 12 2.136 251.891893142431
12 92 32 12 0 175.037458571798
9 98 34 12 7.991 433.113578668523
11 109 43 15 0.846 317.031139210219
11 118 44 17 0.331 403.025566346418
14 97 42 16 0 354.95818719883
16 95 42 17 0 441.863053341411
10 99 40 12 1.866 481.063847316259
10 106 31 12 0.378 254.93280483947
12 117 33 12 0.962 235.097424365239
12 90 47 12 6.378 249.884797086018
12 95 44 12 4.5 182.911055652045
12 115 43 12 1.333 233.92487106947
12 106 40 14 1.503 280.0589173104
8 114 26 12 0 199.93653676148
12 92 34 12 0.717 327.995536480372
13 119 36 16 1.708 547.849163515098
13 85 32 13 0.678 137.964995888505
12 98 34 16 0.366 350.023396712763
12 114 30 12 1.458 266.933616460888
8 84 42 18 0.378 150.054715862554
16 108 42 13 0.333 172.949561506035
8 107 32 12 4.067 222.071632778749
16 84 35 12 3.212 232.991040491455
10 86 22 12 0.378 175.037458571798
10 88 27 12 3.378 254.93280483947
12 117 45 16 0.876 462.201064059447
12 110 42 16 5.768 488.822774769869
9 104 32 12 4.898 749.945097111882
9 110 26 13 0 290.034534391735
11 99 33 16 3.121 384.137284340817
12 117 31 12 0 290.034534391735
8 85 39 16 0 301.87106828279
11 114 36 16 4.191 345.848217131731
12 107 30 15 0 295.893620640484
12 117 41 18 0.628 603.049932440764
16 112 47 18 2.397 768.930047631974
14 106 46 18 1.013 615.232349179111
12 116 38 14 0 345.848217131731
8 123 44 14 0 384.906327696507
8 118 40 16 0.378 433.113578668523
12 103 29 12 0 665.141633044362
8 114 40 12 5.333 284.00731645646
12 102 36 12 4.273 164.021907299902
6 104 36 12 4.733 269.886095103727
14 112 43 14 0.378 260.082789114007
12 107 39 12 0.346 297.079565431368
12 117 36 13 4.933 354.95818719883
12 96 42 12 0 199.93653676148
8 97 27 12 0.354 370.183933617039
8 99 29 10 2.628 220.081955063764
8 126 44 14 0.906 325.056820709323
12 109 49 17 0.981 359.962550625934
12 119 48 16 0.058 140.050069786076
12 102 38 16 3.143 350.023396712763
9 105 45 17 0 211.029935959955
12 117 40 16 0 288.876713439833
12 112 40 16 3.25 378.039996171643
8 89 28 10 0 212.087727915912
12 131 39 12 0 317.031139210219
16 114 28 16 0.816 542.94064252041
10 98 35 12 4.712 310.132616139558
12 125 30 13 1.361 419.893034886675
10 100 38 16 2.378 343.092469084175
8 113 26 12 0 275.062955346731
10 102 46 16 1 288.011381945753
12 82 33 18 0.378 229.981759670985
12 112 47 14 1.575 284.860617717745
8 111 38 16 0 222.071632778749
11 96 24 13 0 199.93653676148
16 127 48 16 1.333 297.079565431368
8 97 47 14 1 500.195989190632
12 120 50 14 0.795 749.945097111882
16 101 41 16 0.397 399.814224310928
12 120 40 14 3.333 333.952911665422
5 110 23 12 1.333 336.972053630071
5 94 35 9 0 124.960788988513
17 120 50 16 2.261 540.232714768701
8 108 45 12 5.378 288.011381945753
11 103 31 9 3.583 345.848217131731
11 106 36 12 1 409.93556958674
12 119 37 16 0.378 659.841727866848
8 87 33 12 7.282 350.023396712763
11 121 49 16 0 236.03969735231
12 112 33 12 0 227.011346315278
12 103 36 12 0 437.904127749215
16 99 48 16 1.333 345.848217131731
12 101 40 14 1.378 317.031139210219
8 109 41 13 0.378 313.876626668387
12 73 46 12 0 342.064734050274
16 116 27 16 0.311 325.056820709323
12 98 42 12 0 171.057541517237
14 104 43 13 0.328 199.93653676148
12 78 29 12 0 137.002613186469
12 85 39 11 2.128 199.93653676148
12 104 25 12 0.453 217.022275424947
8 109 48 12 6.378 317.031139210219
10 96 33 13 0 240.086674044968
12 90 32 12 4.333 220.081955063764
12 103 29 15 1.462 470.125650281816
14 106 41 16 0.333 378.039996171643
14 96 32 16 4.235 448.092641455382
8 114 39 12 0.492 199.93653676148
9 86 33 10 0.333 119.941005372434
13 110 38 16 1.753 424.962104896681
12 87 41 12 4.295 347.929544171664
13 89 31 12 0 199.93653676148
8 106 40 12 1.769 311.999005405027
5 100 43 12 0.91 238.889236762609
16 111 38 12 4.428 350.023396712763
12 100 40 12 3.515 375.027741287151
12 114 38 12 3.378 288.011381945753
13 98 45 18 0 416.964047059886
9 89 24 11 0.795 350.023396712763
11 74 23 10 0.462 199.93653676148
11 130 29 13 2.795 300.065264701246
12 108 51 16 0.365 475.80114293537
10 98 31 12 2.333 218.984291733569
16 125 27 16 0.369 384.906327696507
12 104 29 16 0 317.983660695687
8 98 33 12 3 259.044535848419
11 104 37 15 0 416.964047059886
8 120 33 12 4.617 249.884797086018
8 134 38 12 0 199.93653676148
8 92 28 9 4.25 215.939872310614
13 129 34 16 4.548 352.834814563656
12 118 42 13 0 488.822774769869
12 107 37 12 0.378 336.972053630071
12 92 37 12 5.461 272.053843296014
16 118 33 16 0.378 124.960788988513
12 108 38 17 0.669 424.962104896681
12 119 42 12 5.333 182.911055652045
8 109 29 12 0.414 244.936746583243
8 91 41 12 9.086 367.969480019487
12 118 38 14 0 199.93653676148
14 119 37 13 0 215.077838039293
14 103 33 13 1.314 472.954883395152
12 120 25 16 0 375.027741287151
8 122 40 16 0 163.040722354492
8 119 35 12 0.423 199.93653676148
9 104 37 11 7.318 625.155238190674
8 96 22 10 0.737 222.071632778749
8 83 36 12 2.914 224.977410638035
10 88 27 12 0.462 319.897297830357
8 96 43 12 2.995 199.93653676148
12 123 42 17 1.833 407.076040627391
11 108 43 12 2.333 150.054715862554
12 116 35 16 2.5 557.242214009178
16 109 45 18 0.908 389.942775940367
12 97 39 12 2.568 140.050069786076
12 107 34 12 1 150.054715862554
12 95 27 12 8.027 362.853800610898
15 109 31 14 1.384 311.064410981393
12 104 36 12 1.9 319.897297830357
12 110 37 12 1.667 300.065264701246
13 94 40 13 4.088 481.063847316259
8 103 38 12 2.416 365.037467865329
8 123 45 12 0 307.046745049164
6 113 33 12 0.378 199.93653676148
12 100 31 13 0 170.034269155035
12 95 39 12 0 145.038612489223
8 100 34 12 3.831 195.000086080088
15 108 39 13 3.725 290.034534391735
12 101 47 12 0.769 212.937777793932
12 90 43 12 2.25 199.93653676148
8 115 41 12 2.94 310.132616139558
11 84 33 13 0.497 212.937777793932
12 125 44 14 0 262.959492657045
11 107 42 12 6.333 507.247981805435
8 129 33 13 0 350.023396712763
12 98 40 12 1.692 375.027741287151
8 108 41 12 5.19 294.123574365601
2 114 37 16 0.78 495.218955940186
12 111 37 16 0 288.011381945753
12 101 29 12 0.981 199.93653676148
12 99 25 12 3.083 141.033859521514
12 75 24 11 1.192 165.008997051689
6 91 29 12 0 326.033455390997
12 113 38 16 0 237.935588383847
8 120 34 12 8.444 244.936746583243
12 98 32 13 0.369 249.884797086018
16 107 31 16 0.458 444.966945663712
12 121 39 18 0.384 500.195989190632
12 134 42 15 0 288.011381945753
12 120 38 16 0.75 542.94064252041
12 105 36 15 1.02 275.062955346731
10 121 40 12 0 545.116754412795
12 113 29 16 0.463 337.984487682715
12 106 37 12 0 325.056820709323
9 104 41 18 1.408 737.303786048461
10 80 23 11 0 275.062955346731
10 117 28 12 1 325.056820709323
12 126 42 16 1.385 303.080970747648
10 112 42 12 4.961 265.071605786227
6 83 20 12 3.156 317.983660695687
6 84 13 10 0 124.960788988513
12 109 32 12 0.378 399.015394957935
12 111 25 14 0 459.895826635286
12 94 33 12 6.462 256.980446925785
12 96 32 12 0 300.065264701246
12 101 33 13 0.673 306.126985143694
12 90 35 11 0 353.894908352961
12 120 48 16 3.378 505.223042456829
12 120 38 16 2.231 430.953415682982
8 108 29 12 2.378 310.132616139558
12 99 43 13 2.19 317.983660695687
12 80 31 11 2.462 270.967801454569
10 93 45 11 5.333 278.940919128187
11 118 43 13 0.378 249.884797086018
12 115 31 11 1 245.918455678822
10 119 28 16 3.739 199.93653676148
12 94 39 12 0 244.936746583243
13 109 42 16 4.842 381.076445744929
14 104 37 13 2.378 160.934910398366
7 89 21 11 1.09 124.960788988513
12 101 28 12 2.354 249.884797086018
12 96 34 16 0 300.065264701246
9 109 48 12 1.583 158.06399773935
4 94 38 12 3.083 215.077838039293
6 115 34 12 1.473 249.884797086018
8 92 41 12 2.161 284.00731645646
11 71 32 9 0.519 235.097424365239
12 130 39 11 0 132.026148808258
12 119 38 16 0.228 345.848217131731
10 74 24 9 0.462 129.024202107378
10 124 23 15 3.754 416.964047059886
12 94 29 14 0.457 199.93653676148
12 120 44 16 6.363 244.936746583243
8 96 40 11 1.545 317.031139210219
12 98 42 12 0.423 199.93653676148
9 109 44 12 2.333 180.910059694309
12 100 39 17 0 493.242036591015
11 101 25 12 0.538 190.9477823823
12 111 40 16 0.167 480.102681108223
8 106 38 16 2.981 460.816538693711
12 102 37 12 1.128 300.065264701246
12 115 28 14 0.741 345.848217131731
10 99 37 12 1.387 500.195989190632
11 118 48 16 1.333 259.044535848419
13 132 37 13 0 323.112319123326
12 108 26 13 0.333 317.031139210219
14 98 40 12 2.166 255.954578243271
8 111 44 12 6.083 258.010427300931
8 79 36 11 4.356 224.079298417407
12 97 29 12 1 199.93653676148
12 99 49 15 2.333 105.004163315997
12 101 33 16 0 300.065264701246
12 120 45 17 0 220.081955063764
8 97 33 12 0.378 199.93653676148
8 106 34 12 4.747 146.936423495695
12 131 44 16 0.478 481.063847316259
12 93 32 10 2.045 244.936746583243
8 79 23 12 0.378 300.065264701246
11 100 38 12 0.378 300.065264701246
9 107 30 16 0.816 490.781981670474
12 105 22 12 0.378 300.966812140347
12 114 25 12 5.302 344.123291952613
8 116 36 12 9.378 288.011381945753
11 104 41 12 5.25 178.038532218002
9 85 48 12 3.583 300.065264701246
9 93 46 12 2.833 342.064734050274
8 100 40 10 0 345.848217131731
12 88 36 16 0.434 365.037467865329
12 93 32 12 4.444 484.927793270918
12 98 26 12 1.795 172.949561506035
12 110 35 14 1.892 199.93653676148
11 94 38 14 0.635 99.9829828492723
8 77 36 12 1.201 184.934184070683
12 102 44 12 3.142 331.955193343547
16 113 49 14 5.369 464.053570859276
12 103 38 10 5.434 300.065264701246
12 96 31 11 3.333 150.054715862554
12 97 35 11 5.333 184.934184070683
15 89 39 12 2.317 297.079565431368
16 104 34 16 0.895 507.755483495794
11 116 36 14 0 224.977410638035
12 104 47 14 0 259.044535848419
12 114 37 12 0.541 180.007767007331
12 103 40 16 1.553 320.858430702306
6 92 34 12 1.25 261.125203709768
8 98 41 18 4.706 403.83242406788
12 114 48 13 1.417 336.972053630071
12 110 37 12 1.917 156.022464486395
8 132 39 17 1.113 746.204730335691
8 112 37 16 5.932 199.93653676148
12 99 42 9 2.5 240.086674044968
12 106 45 13 3.333 262.959492657045
18 128 43 15 0.309 500.195989190632
8 80 30 12 3.486 362.853800610898
6 71 24 11 2.043 300.065264701246
12 127 45 18 0.792 601.243493656447
8 114 43 16 0 449.888601546773
7 102 30 13 0.654 240.086674044968
12 88 34 12 0.462 186.97968975123
12 88 32 12 1 350.023396712763
14 110 45 15 1.916 256.980446925785
8 130 39 16 0 481.063847316259
12 101 36 11 3.378 166.002027145191
9 89 36 10 0.333 142.024559944288
12 80 25 10 1.333 184.934184070683
12 72 20 12 9.058 600.042208354864
12 115 56 18 1.189 224.079298417407
12 115 48 16 0.798 552.802060591568
8 93 27 12 3.295 215.077838039293
12 92 42 15 2.916 412.81518547102
5 115 40 13 1.164 474.850491617701
12 93 26 11 1.975 237.935588383847
8 91 39 12 0.653 222.961698254061
9 90 35 10 4.5 175.037458571798
9 104 47 12 3.182 175.914837484065
12 100 42 12 1.848 140.050069786076
15 129 40 18 0 132.953574051283
12 112 39 16 0.717 307.046745049164
11 98 38 11 6.717 471.066842460828
12 132 45 17 4.019 711.232940560005
13 110 36 13 0 307.046745049164
11 127 44 12 1.191 389.163669754374
8 94 39 13 3.62 449.888601546773
16 97 48 16 0 594.071688624216
11 109 42 15 0.255 284.860617717745
3 89 21 12 0 134.962910006811
11 90 33 12 5.378 235.097424365239
12 105 39 12 0 159.972191979387
8 100 27 12 5.275 295.893620640484
16 111 40 16 0.958 237.935588383847
16 125 44 17 0 399.814224310928
12 124 20 16 0 224.977410638035
12 107 41 14 7.934 462.201064059447
12 110 45 12 3.991 199.93653676148
16 102 32 13 1.455 240.086674044968
12 81 36 12 7.333 412.81518547102
12 99 36 12 3.784 224.977410638035
12 102 35 13 0 325.056820709323
12 95 44 12 0 226.105114601753
11 98 37 16 0.769 399.814224310928
4 109 41 16 0.556 395.045125441462
8 82 41 12 6.655 308.894563431152
12 105 22 13 0 159.972191979387
12 95 36 12 0 242.985069726934
12 123 43 16 1.872 344.123291952613
12 86 24 12 0 218.984291733569
8 87 41 12 0 184.011820979647
12 117 39 16 0.553 540.232714768701
12 112 50 16 1.128 317.031139210219
12 119 41 15 0 550.044948812039
6 81 33 12 0.385 189.995426344557
10 124 48 17 0.385 332.952554216867
7 89 38 12 0 229.981759670985
12 106 41 16 1.189 600.042208354864
11 103 30 13 0.333 217.022275424947
6 91 40 12 0.378 198.939349124239
12 101 34 16 5.406 340.018490515304
12 83 32 12 2.25 154.934120881673
12 102 54 17 0.161 481.063847316259
7 94 34 12 0.423 180.007767007331
12 97 38 10 3.475 235.097424365239
12 115 38 17 0 441.863053341411
17 117 38 16 0.378 397.820142548115
8 105 45 12 5.756 259.044535848419
8 113 36 16 0.533 340.018490515304
10 83 37 12 5.974 489.801398617047
17 101 44 18 0.406 606.072732806383
12 113 36 12 0 327.995536480372
12 88 31 12 0.628 224.977410638035
16 113 27 16 0.541 323.112319123326
12 106 38 14 0 938.234577159065
10 114 36 12 2.166 232.991040491455
11 119 32 16 2.113 540.773217689888
1 89 40 12 5.58 212.937777793932
12 97 28 13 0.378 336.972053630071
12 83 51 13 0.527 427.09223631193
12 97 40 11 11.444 555.017697152875
12 98 37 12 0 275.062955346731
8 84 24 12 1.045 172.949561506035
8 74 24 12 1.964 191.904912124547
6 93 32 12 2.128 115.007805503109
17 113 41 17 1.134 681.979773650696
8 92 37 12 1.145 208.930153013251
9 127 44 12 2.111 295.007269969332
6 109 44 12 6.25 340.018490515304
10 97 42 12 1.206 224.977410638035
0 66 30 11 4.525 187.916929346392
16 109 46 16 0.962 598.244779221571
4 109 43 16 0.277 433.113578668523
8 85 44 12 0 184.934184070683
8 81 26 12 1.154 180.007767007331
5 87 12 9 10.609 430.09237018413
12 78 40 13 0.968 249.884797086018
12 54 37 13 1 209.977419763388
8 98 33 12 1.233 224.977410638035
12 98 34 12 2.25 284.860617717745
16 105 29 16 0.603 331.955193343547
12 87 25 12 0 165.008997051689
12 117 25 13 2.65 500.195989190632
12 85 30 14 0 199.93653676148
8 82 35 13 1.817 224.977410638035
12 114 39 18 1.381 681.298134753296
12 105 48 18 3.32 1154.01217814773
7 92 20 14 2.449 399.814224310928
12 107 23 12 0 340.018490515304
12 111 41 17 0 375.027741287151
16 119 49 16 4.363 462.201064059447
12 97 40 12 7.128 575.937990777205
10 110 34 12 2.333 288.876713439833
12 96 32 12 5.201 381.076445744929
12 102 31 10 3.333 304.904922956909
0 64 22 12 5.378 180.910059694309
8 103 32 12 3 99.9829828492723
12 118 39 10 9.498 204.997954286834
13 118 41 17 0 297.972142323568
12 75 37 13 6.72 300.065264701246
12 112 45 13 0 359.962550625934
12 95 20 12 1.712 199.93653676148
12 119 38 16 0 489.801398617047
12 94 35 14 0.378 300.065264701246
6 103 27 12 0 175.037458571798
14 90 36 16 0.385 275.062955346731
16 128 50 17 1.145 817.294912713934
12 84 40 12 0.378 419.893034886675
8 97 38 12 2.333 462.201064059447
12 102 34 12 1.333 300.065264701246
12 131 41 17 0.484 592.292144209624
12 126 23 16 0.977 300.966812140347
12 107 32 16 0.397 399.814224310928
12 108 45 16 0.85 885.365009419538
12 108 40 15 0 419.893034886675
12 115 46 16 0.378 199.93653676148
12 111 44 14 1.75 244.936746583243
12 115 47 12 1.462 195.000086080088
11 101 31 13 1 156.022464486395
12 114 48 18 0.346 455.775334224703
12 116 40 17 0 226.105114601753
12 90 41 12 0 217.022275424947
14 125 33 12 0 236.03969735231
12 98 26 12 0.337 280.90035558867
10 111 42 15 1.374 346.887319657588
12 109 38 15 0.806 419.054088043394
12 124 36 16 0.378 311.999005405027
8 121 35 13 0.358 600.042208354864
10 103 37 12 0 249.884797086018
12 96 19 12 1 269.886095103727
12 100 40 12 0 411.990380180304
11 112 38 10 0 403.025566346418
12 73 24 10 0 215.077838039293
11 101 39 12 0 278.105350350645
12 99 44 12 4.333 240.086674044968
12 95 23 12 0.462 124.960788988513
18 109 40 16 0 457.144713268909
13 110 35 12 0 290.90594445645
4 98 49 17 0 534.857309442614
12 112 46 15 2.037 749.945097111882
11 90 28 12 0 749.945097111882
12 102 46 14 5.282 562.842591366322
12 119 39 16 0.658 424.962104896681
8 96 34 12 0.333 258.010427300931
12 118 40 18 1.18 640.981118391949
9 79 39 11 5.378 288.011381945753
10 96 42 12 0 386.835678693001
12 80 27 11 1.006 323.112319123326
12 137 36 13 0.798 334.956274692437
12 116 42 15 0.462 389.163669754374
12 69 31 11 1.317 416.130952338186
6 78 36 12 1.961 272.053843296014
8 99 41 12 11.11 401.015467948384
16 92 33 12 0.378 211.029935959955
16 113 23 16 0 421.154605400928
12 98 29 13 0 229.063670035691
12 115 30 15 0.392 479.143435311552
6 117 41 16 0 288.011381945753
8 96 38 12 0 286.861637439973
10 108 46 12 1.783 249.884797086018
16 92 34 16 0.53 224.079298417407
16 95 38 15 3.333 224.977410638035
15 94 40 13 0.462 282.873556222781
7 115 38 12 6.333 345.157211933001
12 105 42 16 0.25 345.848217131731
7 109 36 12 2.545 264.013437111323
12 87 38 12 4.509 294.123574365601
13 110 34 16 0.333 254.93280483947
10 110 30 16 0.387 275.062955346731
17 109 32 12 0.962 307.046745049164
12 85 21 12 3.166 275.062955346731
10 105 42 14 1.378 284.860617717745
10 122 39 16 0.594 269.077650092266
14 108 40 16 0 411.990380180304
12 122 38 16 1.309 276.995150828553
8 79 32 16 2.397 524.790953769807
12 105 30 12 0 175.037458571798
8 110 42 12 0 256.980446925785
14 92 32 12 2.387 307.969268377411
12 131 32 16 3.395 384.906327696507
12 104 32 12 1.131 191.904912124547
12 110 39 16 4.682 414.884430199271
10 99 20 12 0.692 240.086674044968
4 72 34 9 4.083 124.960788988513
6 86 35 12 0.462 136.046943639891
12 68 38 11 0 235.097424365239
12 116 42 16 0.495 520.089025600613
10 96 45 13 0 199.93653676148
12 100 32 9 0 159.972191979387
12 101 38 12 0 324.083111541228
12 117 39 16 1.275 628.917444953493
16 93 38 12 0 124.960788988513
9 116 37 12 1 176.973499318489
12 106 42 12 5.083 171.057541517237
14 98 45 12 2.583 276.995150828553
12 103 36 12 0 229.981759670985
10 100 22 13 0 211.029935959955
10 96 39 12 1.13 249.884797086018
10 96 27 12 0.878 416.130952338186
13 104 42 12 0 121.025346637184
14 106 34 17 3.001 209.977419763388
12 106 44 16 0.417 323.112319123326
9 94 24 12 7.786 244.936746583243
10 81 29 10 4.333 350.023396712763
5 87 15 9 6.462 111.944140349496
6 75 27 12 1 189.995426344557
5 95 34 12 0.333 150.054715862554
3 86 19 11 1 130.060535530825
3 86 17 10 0.308 170.034269155035
8 104 41 12 0 184.934184070683
7 95 21 12 2.601 134.962910006811
8 116 37 12 0.615 224.977410638035
8 66 20 9 4.333 300.065264701246
0 101 38 16 1.475 294.123574365601
12 96 23 12 0 132.953574051283
9 104 41 12 2.378 189.995426344557
14 105 34 16 1.013 288.011381945753
8 106 34 12 0 265.071605786227
15 101 34 17 1.597 519.049887034357
12 96 42 12 0.916 224.977410638035
12 105 34 12 0 160.934910398366
3 106 40 12 0.527 459.895826635286
8 102 44 12 5.417 202.958190560599
12 90 46 11 0 180.007767007331
12 104 30 12 0.403 217.022275424947
12 118 37 16 0.462 384.906327696507
9 108 40 12 2.725 199.93653676148
12 104 37 12 0.378 241.048943998027
10 92 40 9 8.088 254.93280483947
4 87 26 12 0.928 248.887254313277
12 96 38 15 0 187.916929346392
12 80 34 10 1.322 159.972191979387
12 104 40 16 1.511 433.113578668523
9 104 35 18 0 577.091019403042
12 96 24 18 0.5 230.90352901934
12 89 24 12 3.206 224.977410638035
10 113 39 12 1.462 129.024202107378
7 105 29 12 1.833 150.054715862554
7 84 39 12 0 249.884797086018
7 108 36 12 2.434 186.97968975123
8 104 32 12 1.462 170.034269155035
7 106 28 12 1 124.960788988513
12 70 34 10 7.545 199.93653676148
11 104 39 16 0.475 345.848217131731
14 91 42 12 0 166.002027145191
14 112 42 18 0.395 520.089025600613
12 97 27 10 0.865 189.995426344557
10 99 40 12 1.333 199.93653676148
6 86 28 9 0.333 175.037458571798
12 90 36 12 2.289 224.977410638035
12 101 43 12 0 297.079565431368
11 109 33 15 0 307.969268377411
12 107 40 12 6.333 172.949561506035
12 110 48 16 0.926 199.93653676148
10 120 35 13 0 837.984831933289
12 97 34 16 0.786 336.972053630071
11 103 37 12 1.906 358.167229914832
12 114 36 16 0.336 375.027741287151
8 95 31 11 0 176.973499318489
12 97 28 16 0.5 673.171414975328
13 97 34 14 1.908 230.90352901934
10 83 25 13 1 140.050069786076
12 104 46 16 0 251.891893142431
12 82 27 12 2.817 295.007269969332
8 113 45 16 0 412.81518547102
